Date : 2021-06-01 14:47:37
Directory : /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei
Total : 262 files,  73895 codes, 3294 comments, 3203 blanks, all 80392 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| package/imkit-flutter-quickstart/test                                                                                                                                           |          1 |         13 |          8 |          3 |         24 |
| package/paixs_utils                                                                                                                                                             |         45 |      8,075 |        573 |        603 |      9,251 |
| package/paixs_utils/assets                                                                                                                                                      |          3 |          9 |          0 |          1 |         10 |
| package/paixs_utils/assets/svg                                                                                                                                                  |          3 |          9 |          0 |          1 |         10 |
| package/paixs_utils/lib                                                                                                                                                         |         39 |      8,021 |        538 |        587 |      9,146 |
| package/paixs_utils/lib/config                                                                                                                                                  |          4 |        195 |         53 |         39 |        287 |
| package/paixs_utils/lib/config/net                                                                                                                                              |          3 |        132 |         40 |         28 |        200 |
| package/paixs_utils/lib/model                                                                                                                                                   |          1 |        116 |         24 |         19 |        159 |
| package/paixs_utils/lib/util                                                                                                                                                    |          3 |        481 |         54 |         48 |        583 |
| package/paixs_utils/lib/widget                                                                                                                                                  |         30 |      7,229 |        377 |        478 |      8,084 |
| test                                                                                                                                                                            |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                                                             |          2 |         49 |         15 |          6 |         70 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                                        | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/README.md                                                                                                            | Markdown     |         10 |          0 |          7 |         17 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/build.gradle                                                                                             | Groovy       |         77 |         12 |         15 |        104 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/debug/AndroidManifest.xml                                                                            | XML          |          4 |          3 |          1 |          8 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/main/AndroidManifest.xml                                                                             | XML          |         40 |         11 |          1 |         52 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/main/java/com/MyApplication.java                                                                     | Java         |          5 |         14 |          4 |         23 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/main/res/drawable-v21/launch_background.xml                                                          | XML          |          9 |          2 |          2 |         13 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/main/res/drawable/launch_background.xml                                                              | XML          |          9 |          2 |          2 |         13 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/main/res/values-night/styles.xml                                                                     | XML          |          9 |          9 |          1 |         19 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/main/res/values/styles.xml                                                                           | XML          |          9 |          9 |          1 |         19 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/main/res/xml/network_security_config.xml                                                             | XML          |          8 |          0 |          0 |          8 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/app/src/profile/AndroidManifest.xml                                                                          | XML          |          4 |          3 |          1 |          8 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/build.gradle                                                                                                 | Groovy       |         28 |          0 |          5 |         33 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/gradle.properties                                                                                            | Properties   |          3 |          1 |          1 |          5 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/gradle/wrapper/gradle-wrapper.properties                                                                     | Properties   |          5 |          1 |          1 |          7 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/settings.gradle                                                                                              | Groovy       |          8 |          0 |          4 |         12 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/android/settings_aar.gradle                                                                                          | Groovy       |          1 |          0 |          1 |          2 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/assets/svg/play_svg.svg                                                                                              | XML          |          1 |          0 |          0 |          1 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/data/province.json                                                                                                   | JSON         |     30,950 |          0 |          0 |     30,950 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/ios/Runner/AppDelegate.swift                                                                                         | Swift        |         12 |          0 |          2 |         14 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                          | JSON         |        122 |          0 |          1 |        123 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                                                        | JSON         |         23 |          0 |          1 |         24 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                                            | Markdown     |          3 |          0 |          2 |          5 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                                        | XML          |         36 |          1 |          1 |         38 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/ios/Runner/Base.lproj/Main.storyboard                                                                                | XML          |         25 |          1 |          1 |         27 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/ios/Runner/Runner-Bridging-Header.h                                                                                  | C++          |          1 |          0 |          1 |          2 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/config/common_config.dart                                                                                        | Dart         |          5 |          0 |          2 |          7 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/main.dart                                                                                                        | Dart         |        397 |         34 |         22 |        453 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/model/phone_country_code_data.dart                                                                               | Dart         |         68 |          0 |         11 |         79 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/model/user_model.dart                                                                                            | Dart         |        146 |         40 |          3 |        189 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/baidu_location.dart                                                                                    | Dart         |        304 |          9 |         12 |        325 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/bangni_page.dart                                                                                       | Dart         |        204 |          6 |          7 |        217 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/chengjiao_page.dart                                                                                    | Dart         |         68 |          2 |          6 |         76 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/city_selecto.dart                                                                                      | Dart         |        574 |          5 |         14 |        593 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/fangdai_page.dart                                                                                      | Dart         |        301 |          0 |          8 |        309 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/goufang_ziliao.dart                                                                                    | Dart         |        136 |          1 |          9 |        146 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/loupan_info.dart                                                                                       | Dart         |        141 |          1 |          4 |        146 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/loupan_page.dart                                                                                       | Dart         |      1,800 |         25 |         44 |      1,869 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/pinpai_page.dart                                                                                       | Dart         |        184 |          4 |         12 |        200 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/renqibang_page.dart                                                                                    | Dart         |         68 |          2 |          6 |         76 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/sunpan_page.dart                                                                                       | Dart         |        105 |          2 |          7 |        114 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home/xiaoshoubang_page.dart                                                                                 | Dart         |         68 |          2 |          6 |         76 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/home_page.dart                                                                                              | Dart         |        278 |         14 |         13 |        305 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/login_page.dart                                                                                             | Dart         |      1,169 |         50 |         25 |      1,244 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/my_page.dart                                                                                                | Dart         |        731 |         39 |         21 |        791 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/my_page2.dart                                                                                               | Dart         |        346 |          1 |          9 |        356 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/order_page.dart                                                                                             | Dart         |         20 |         15 |          3 |         38 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/shaixuan_page.dart                                                                                          | Dart         |        698 |         12 |          8 |        718 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/shopping_page.dart                                                                                          | Dart         |        425 |          4 |         24 |        453 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/video_page.dart                                                                                             | Dart         |        205 |         22 |         18 |        245 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/bangzhu_page.dart                                                                                      | Dart         |        158 |          2 |         11 |        171 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/dengji_item.dart                                                                                       | Dart         |        183 |          2 |          7 |        192 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/dengji_page.dart                                                                                       | Dart         |        541 |         14 |          7 |        562 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/fankui_page.dart                                                                                       | Dart         |        124 |          1 |          7 |        132 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/fensi_page.dart                                                                                        | Dart         |        239 |          4 |         13 |        256 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/guanyu_page.dart                                                                                       | Dart         |        108 |          5 |          7 |        120 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/kehu_page.dart                                                                                         | Dart         |        403 |         12 |         20 |        435 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/quanyi_page.dart                                                                                       | Dart         |        310 |          0 |          8 |        318 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/setup_page.dart                                                                                        | Dart         |        371 |          8 |         14 |        393 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/shangxueyuan_page.dart                                                                                 | Dart         |        238 |          0 |          9 |        247 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/shiming_page.dart                                                                                      | Dart         |        229 |          0 |         12 |        241 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/shoucang_page.dart                                                                                     | Dart         |         79 |          2 |          6 |         87 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/tixian_page.dart                                                                                       | Dart         |        168 |          0 |          7 |        175 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/xieyi_page.dart                                                                                        | Dart         |         65 |          2 |          7 |         74 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/xiugai_login.dart                                                                                      | Dart         |        161 |          1 |          5 |        167 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/wode/yaoqing_page.dart                                                                                      | Dart         |        223 |          8 |          8 |        239 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/xiaoxi_page.dart                                                                                            | Dart         |        139 |          2 |          6 |        147 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/page/zixun_page.dart                                                                                             | Dart         |        161 |          5 |         14 |        180 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/provider/app_provider.dart                                                                                       | Dart         |        100 |         12 |         16 |        128 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/provider/chat_provider.dart                                                                                      | Dart         |         72 |          5 |          5 |         82 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/provider/provider_config.dart                                                                                    | Dart         |         19 |          2 |          7 |         28 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/provider/shoping_pro.dart                                                                                        | Dart         |          3 |          0 |          2 |          5 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/provider/user_provider.dart                                                                                      | Dart         |         85 |          9 |         10 |        104 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/util/comon.dart                                                                                                  | Dart         |         52 |          1 |          5 |         58 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/util/http.dart                                                                                                   | Dart         |        273 |         21 |         10 |        304 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/view/views.dart                                                                                                  | Dart         |        222 |        225 |         15 |        462 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/appbar_widget.dart                                                                                        | Dart         |         88 |          6 |          3 |         97 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/bnb_widget.dart                                                                                           | Dart         |        152 |          0 |          5 |        157 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/city_picker.dart                                                                                          | Dart         |        364 |          1 |         32 |        397 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/date_picker.dart                                                                                          | Dart         |        486 |         17 |         42 |        545 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/lazy_data_table.dart                                                                                      | Dart         |        238 |         16 |         35 |        289 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/my_custom_scroll.dart                                                                                     | Dart         |        193 |          5 |          9 |        207 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/no_sliding_return.dart                                                                                    | Dart         |         21 |          4 |          5 |         30 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/tab_link_widget.dart                                                                                      | Dart         |        256 |          9 |         11 |        276 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/tab_widget.dart                                                                                           | Dart         |         77 |          4 |          7 |         88 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/table.dart                                                                                                | Dart         |         69 |          1 |          4 |         74 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/tabs.dart                                                                                                 | Dart         |        983 |         28 |        154 |      1,165 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/text_edit_widget.dart                                                                                     | Dart         |         85 |          0 |          7 |         92 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/tween_widget.dart                                                                                         | Dart         |        117 |          1 |          7 |        125 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/upapp_widget.dart                                                                                         | Dart         |        156 |         11 |          8 |        175 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/lib/widget/widgets.dart                                                                                              | Dart         |        834 |         65 |         33 |        932 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/macos/Flutter/GeneratedPluginRegistrant.swift                                                                        | Swift        |         20 |          4 |          5 |         29 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/macos/Runner/AppDelegate.swift                                                                                       | Swift        |          8 |          0 |          2 |         10 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                        | JSON         |         68 |          0 |          1 |         69 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/macos/Runner/Base.lproj/MainMenu.xib                                                                                 | XML          |        339 |          0 |          1 |        340 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/macos/Runner/MainFlutterWindow.swift                                                                                 | Swift        |         12 |          0 |          4 |         16 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/README.md                                                                           | Markdown     |         26 |          0 |         14 |         40 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/build.gradle                                                            | Groovy       |         69 |          7 |         16 |         92 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/src/debug/AndroidManifest.xml                                           | XML          |          4 |          3 |          1 |          8 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/src/main/AndroidManifest.xml                                            | XML          |         44 |          9 |          2 |         55 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/src/main/java/com/example/rongcloud_im_plugin_example/MainActivity.java | Java         |         23 |         20 |          9 |         52 |
